ID Number;Phone;Email;Address;
65320482466;12027047181;mail1@mail.com;A mah. B sokak Tuzla/Istanbul;
24617565006;60009150221;mail2@mail.com;B mah A sokak Kizilay/Ankara;
96544522951;81011711214;mail3@mail.com;A mah. B sokak Tuzla/Istanbul;
54942169205;19919338270;mail4@mail.com;B mah A sokak Kizilay/Ankara;
76286948202;31447953539;mail5@mail.com;A mah. B sokak Tuzla/Istanbul;
23500846671;44468641080;mail6@mail.com;B mah A sokak Kizilay/Ankara;
29351325269;89274143702;mail7@mail.com;A mah. B sokak Tuzla/Istanbul;
95323030210;56283705974;mail8@mail.com;B mah A sokak Kizilay/Ankara;
41997096279;96180307516;mail9@mail.com;A mah. B sokak Tuzla/Istanbul;
32787844302;86451124914;mail10@mail.com;B mah A sokak Kizilay/Ankara;
54922516586;15306147914;mail11@mail.com;A mah. B sokak Tuzla/Istanbul;
52523437043;39118467037;mail12@mail.com;B mah A sokak Kizilay/Ankara;
